ANZSCO Level,NFD Indicator 5,Code,ANZSCO Title,COVID Adjusted 3,Skill Level 4,Trend Data for Aug 2025 1,Qtr Change to Aug 2025 1,Qtr Change to Aug 2025 1,1 Year  Change to Aug 2025 1,1 Year  Change to Aug 2025 1,5 Year  Change to Aug 2025 1,5 Year  Change to Aug 2025 1,10 Year  Change to Aug 2025 1,10 Year  Change to Aug 2025 1,Share of National Emp 1,Share of Level 1 Group 1,Female Share 2024 4 Quarter Avg 2,Part Time Share 2024 4 Quarter Avg 2,Female Part Time Share 2024 4 Quarter Avg 2,Male Part Time Share 2024 4 Quarter Avg 2,Median Age 2024 2,Median Female Age 2024 2,Median Male Age 2024 2
3,Y,210,Arts and Media Professionals nfd,-,-,0.196286972117422,0.00793260405491664,4.21153177200764,0.0334669705251459,20.554581868235,0.0962869721174224,96.2869721174224,0.0497166124412797,33.919963457231,<0.1,<0.1,-,-,-,-,-,-,-
4,Y,2100,Arts and Media Professionals nfd,-,1,0.196286972117422,0.00793260405491664,4.21153177200764,0.0334669705251459,20.554581868235,0.0962869721174224,96.2869721174224,0.0497166124412797,33.919963457231,<0.1,<0.1,-,-,-,-,-,-,-
3,N,211,Arts Professionals,-,-,49.0192820663756,0.27438873094237,0.562907644610463,1.10218405749504,2.30018950081404,4.01487457331331,8.92106972840879,9.4900641858299,24.0077206043089,0.333345450668341,1.22952234904097,53,49,55,44,38,36,41
4,Y,2110,Arts Professionals nfd,-,1,1.54717383936089,-0.00380479128212619,-0.245315519308526,-0.00624107200642254,-0.401764651591323,0.185610158796098,13.6321320438794,-0.432243022347827,-21.8368869493562,<0.1,<0.1,-,-,-,-,-,-,-
4,N,2111,"Actors, Dancers and Other Entertainers",-,1,7.66051422610312,0.0570611869966209,0.750464120750672,0.287531317720637,3.89979634150158,0.721081981950856,10.3910803734484,1.38931024087639,22.1538040247013,0.0521889888630271,0.193185279352993,55,72,73,71,29,29,31
4,N,2112,Music Professionals,-,1,10.8476915668532,-0.0662875341380769,-0.607363579540446,-0.270089418507601,-2.42934645738423,-0.0989946285809999,-0.904334214150488,0.790749707206547,7.86272525228986,0.0739023566385365,0.273560529205319,44,59,57,60,32,32,32
4,N,2113,Photographers,-,2,14.6967401161934,-0.00481435576244671,-0.0327472565682111,-0.0207833151855716,-0.141214758600349,-0.267952609023197,-1.79056539244322,1.8434832823844,14.34253828598,0.100124871987477,0.370627057286918,49,31,41,22,38,33,42
4,N,2114,Visual Arts and Crafts Professionals,-,1,13.9458904204571,0.253173508691631,1.84896474763231,0.966739773191236,7.44840551946969,3.12608215179077,28.8922139299248,5.6660483809756,68.4318415008123,0.0950095383098677,0.351691891325255,60,48,51,43,51,51,53
3,N,212,Media Professionals,-,-,60.6591282638952,0.0668238284556892,0.110284348942182,0.176439292737676,0.29171866485932,-0.681525660935776,-1.11105053064961,1.08023059169332,1.81310939594192,0.412499808155022,1.52147789053322,47,25,28,22,40,41,39
4,Y,2120,Media Professionals nfd,-,1,1.24090914411722,-0.0114802528415188,-0.916668000335764,-0.0478560320807244,-3.71332442593671,-0.163657717309584,-11.6518281759357,-0.124392084856923,-9.1109626371895,<0.1,<0.1,-,-,-,-,-,-,-
4,N,2121,"Artistic Directors, and Media Producers and Presenters",-,1,14.3497615620267,0.117652965758369,0.826672765757404,0.46623192077401,3.35816563094068,1.26671688953498,9.68212615063805,0.785080135036216,5.78767838567953,0.0977610019697947,0.361876841970068,42,19,21,18,46,47,43
4,N,2122,"Authors, and Book and Script Editors",-,1,5.93101150281834,-0.0224097785162716,-0.376418490432242,-0.115180684598837,-1.9050119650272,-1.26861738597689,-17.6205941385567,-0.747929790837851,-11.1983285666585,<0.1,0.149570130698737,65,40,38,43,50,43,59
4,N,2123,"Film, Television, Radio and Stage Directors",-,1,15.4295909830843,0.0131153908176582,0.0850738597104342,0.0356200349495186,0.231389516516105,-0.100063408632918,-0.644337640162086,2.62447002288593,20.4954723273874,0.105117584565453,0.389108323069568,20,16,23,14,35,37,33
4,N,2124,Journalists and Other Writers,-,1,23.4419985099184,-0.0725661952009204,-0.308601056880811,-0.313299116166377,-1.3188599911388,-0.721405394252145,-2.98552884814226,-1.59603382719735,-6.37443791791668,0.159703926270701,0.591167759378309,59,31,31,32,39,39,41
2,N,22,"Business, Human Resource and Marketing Professionals",-,-,920.318295308572,3.73795045271424,0.407814816638041,5.2407348399239,0.572709359984733,159.503922549777,20.9648934432454,271.20373266645,41.7805651382333,6.26450622464707,23.0505325170867,52,16,21,10,40,39,42
3,Y,220,"Business, Human Resource and Marketing Professionals nfd",-,-,0.153516180841807,0.00912826133418831,6.32203952056158,0.0372627529167487,32.0530358388827,0.0535161808418073,53.5161808418073,0.050200089744456,48.5888395614523,<0.1,<0.1,-,-,-,-,-,-,-
4,Y,2200,"Business, Human Resource and Marketing Professionals nfd",-,1,0.153516180841807,0.00912826133418831,6.32203952056158,0.0372627529167487,32.0530358388827,0.0535161808418073,53.5161808418073,0.050200089744456,48.5888395614523,<0.1,<0.1,-,-,-,-,-,-,-
